Accession,Length,Host
NC_031322,1030,Aulacorthum magnoliae
NC_031224,59443,Arthrobacter sp. ATCC 21022
NC_031225,13490,Hyalopterus pruni
NC_031226,53717,Gordonia terrae
NC_031227,12734,Hyalopterus pruni
NC_031228,60606,Salmonella enterica
NC_031229,76972,Gordonia terrae
NC_031230,98136,Gordonia terrae
NC_031231,58871,Arthrobacter sp. ATCC 21022
NC_031232,14191,Hyalopterus pruni
NC_031233,50346,Gordonia terrae
NC_031234,43982,Gordonia terrae
NC_031235,194437,Synechococcus sp.
NC_031236,11165,Hyalopterus pruni
NC_031237,49286,Gordonia terrae
NC_031238,53411,Mycolicibacterium smegmatis MC2 155
NC_031239,59337,Gordonia terrae
NC_031240,11541,Hippoboscidae
NC_031241,43293,Staphylococcus epidermidis
NC_031242,174307,Synechococcus sp.
NC_031243,42395,Mycolicibacterium smegmatis MC2 155
NC_031244,12774,Anopheles sinensis
NC_031245,221908,Bacillus subtilis
NC_031246,43267,Klebsiella pneumoniae
NC_031247,50636,Gordonia terrae
NC_031248,12860,Charybdis japonica
NC_031249,50127,Gordonia terrae
NC_031250,52437,Salmonella enterica
NC_031251,47880,Gordonia terrae
NC_031252,51290,Arthrobacter sp. ATCC 21022
NC_031253,77832,Mycolicibacterium smegmatis MC2 155
NC_031254,58560,Arthrobacter sp. ATCC 21022
NC_031255,46895,Gordonia terrae
NC_031256,53486,Mycolicibacterium smegmatis MC2 155
NC_031257,52428,Mycolicibacterium smegmatis MC2 155
NC_031258,39696,Salmonella enterica
NC_031259,9924,Araneae
NC_031260,41170,Enterococcus faecium
NC_031261,48670,Mycolicibacterium smegmatis MC2 155
NC_031262,54751,Mycolicibacterium smegmatis MC2 155
NC_031263,53935,Mycolicibacterium smegmatis MC2 155
NC_031264,46877,Brucella inopinata
NC_031265,49894,Gordonia terrae
NC_031266,44872,Mycolicibacterium smegmatis MC2 155
NC_031267,42979,Gordonia terrae
NC_031268,8683,Dermacentor marginatus
NC_031269,51884,Gordonia terrae
NC_031270,10787,Argas miniatus
NC_031271,43602,Salmonella enterica
NC_031272,13408,Argas miniatus
NC_031273,11280,Haemaphysalis hystricis
NC_031274,50509,Pseudomonas aeruginosa PAO1
NC_031275,9591,Capitulum mitella
NC_031276,7202,Camponotus japonicus
NC_031277,52561,Mycolicibacterium smegmatis MC2 155
NC_031278,12247,Musca domestica
NC_031279,52129,Mycolicibacterium smegmatis MC2 155
NC_031280,104906,Acinetobacter baumannii
NC_031281,43516,Mycolicibacterium smegmatis MC2 155
NC_031282,12651,Musca domestica
NC_031283,14731,Musca domestica
NC_031284,12184,Dermacentor marginatus
NC_031285,5147,Dermacentor marginatus
NC_031286,1840,Dermacentor marginatus
NC_031287,6284,Penaeus monodon
NC_031288,4428,Haemaphysalis hystricis
NC_031289,1790,Haemaphysalis hystricis
NC_031290,898,Penaeus monodon
NC_031291,12073,Haemaphysalis hystricis
NC_031292,2969,Penaeus monodon
NC_031293,6493,Blattella germanica
NC_031294,2636,Blattella germanica
NC_031295,4454,Atherigona orientalis
NC_031296,1808,Blattella germanica
NC_031297,1116,Atherigona orientalis
NC_031298,6779,Atherigona orientalis
NC_031214,13732,Atherigona orientalis
NC_031215,12291,Musca domestica
NC_031216,15462,Chrysomya megacephala
NC_031217,10925,Cimex hemipterus
NC_031218,4805,Neoscona nautica
NC_031219,1940,Neoscona nautica
NC_031220,13486,Neoscona nautica
NC_031221,7323,Chrysopidae
NC_031222,4753,Chrysopidae
NC_031223,1233,Chrysopidae
NC_030953,170650,Shigella sonnei
NC_031001,66611,Gordonia terrae
NC_031002,21697,Lactococcus lactis
NC_031003,29254,Cutibacterium acnes
NC_031004,41857,Gordonia terrae
NC_031005,29338,Cutibacterium acnes
NC_031006,161552,Bacillus thuringiensis serovar kurstaki
NC_031007,223935,Erwinia amylovora
NC_031008,17861,Staphylococcus aureus
NC_031009,22884,Lactococcus lactis
NC_031010,246390,Erwinia amylovora
NC_031011,168993,Shigella sonnei
NC_031012,162151,Bacillus thuringiensis serovar kurstaki
NC_031013,34396,Lactococcus lactis
NC_031014,40008,Pseudomonas syringae
NC_031015,26504,Bacillus thuringiensis serovar kurstaki
NC_031016,40273,Lactococcus garvieae Lg2
NC_031017,32409,Lactococcus lactis
NC_031018,39274,Citrobacter freundii
NC_031019,41809,Salmonella enterica subsp. enterica
NC_031020,163201,Morganella sp. (in: Bacteria)
NC_031022,108050,Shigella sonnei
NC_031023,32649,Streptococcus thermophilus
NC_031024,162308,Bacillus thuringiensis
NC_031025,42201,Klebsiella pneumoniae
NC_031026,49167,Salmonella enterica subsp. enterica serovar Typhimurium
NC_031027,162359,Bacillus thuringiensis serovar kurstaki
NC_031028,45285,Gordonia terrae
NC_031029,93686,Gordonia terrae
NC_031030,170788,Escherichia coli O157
NC_031031,52738,Gordonia terrae
NC_031032,24320,Bacillus
NC_031034,161140,Bacillus thuringiensis
NC_031035,61626,Mycolicibacterium smegmatis MC2 155
NC_031036,35068,Lactobacillus casei BL23
NC_031037,163041,Bacillus thuringiensis serovar kurstaki
NC_031039,251042,Bacillus subtilis subsp. subtilis str. 168
NC_031040,31987,Lactococcus lactis
NC_031041,52501,Mycolicibacterium smegmatis MC2 155
NC_031042,111325,Salmonella enterica subsp. enterica serovar Typhimurium
NC_031043,229501,Erwinia amylovora
NC_031044,22179,Lactococcus lactis
NC_031046,17641,Staphylococcus aureus
NC_031047,170770,Escherichia coli
NC_031048,41918,Enterobacter sp. CT7
NC_031049,161929,Bacillus thuringiensis serovar kurstaki
NC_031050,51802,Escherichia coli
NC_031051,37933,Enterococcus faecalis ATCC 19433
NC_031052,57804,Gordonia terrae
NC_031053,50934,Klebsiella pneumoniae KCTC 2242
NC_031054,162415,Bacillus thuringiensis serovar kurstaki
NC_031055,43773,Bacillus cereus
NC_031056,157501,Bacillus cereus BtB2-4
NC_031057,180219,Citrobacter
NC_031058,58566,Pseudomonas
NC_031059,38773,Rhodovulum sp. P5
NC_031060,52726,Gordonia terrae
NC_031061,53431,Gordonia terrae
NC_031062,75147,Erwinia
NC_031063,72697,Pseudomonas aeruginosa
NC_031064,36202,Lactococcus lactis
NC_031065,159878,Salmonella enterica subsp. enterica serovar Newport
NC_031066,39434,Citrobacter freundii
NC_031067,52496,Mycolicibacterium smegmatis MC2 155
NC_031068,44268,Pectobacterium carotovorum
NC_031069,32729,Streptococcus thermophilus
NC_031070,162375,Bacillus thuringiensis serovar kurstaki
NC_031071,22825,Lactococcus lactis
NC_031072,47898,Gordonia terrae
NC_031073,94555,Pseudomonas aeruginosa
NC_031074,92580,Gordonia terrae
NC_031075,22240,Lactococcus lactis
NC_031076,38071,Propionibacterium freudenreichii
NC_031077,41760,Enterobacter sp. CT7
NC_031078,50082,Streptomyces griseus
NC_031079,11843,Hyalomma asiaticum
NC_031080,160985,Mycolicibacterium smegmatis MC2 155
NC_031081,45206,Escherichia coli
NC_031082,87662,Escherichia coli K-12
NC_031083,13169,Haemaphysalis doenitzi
NC_031084,29249,Cutibacterium acnes
NC_031085,166634,Shigella sonnei
NC_031086,40570,Acinetobacter baumannii
NC_031087,168272,Klebsiella pneumoniae
NC_031088,12930,Gerridae
NC_031089,8525,Ligustrum obtusifolium
NC_031090,169621,Shigella sonnei
NC_031091,43277,Pseudomonas aeruginosa
NC_031092,39158,Citrobacter freundii
NC_031093,12978,Gerridae
NC_031094,33105,Streptococcus thermophilus
NC_031095,168758,Klebsiella oxytoca
NC_031096,44570,Pectobacterium atrosepticum
NC_031097,52077,Gordonia terrae
NC_031098,40749,Acinetobacter baumannii A118
NC_031099,44536,Gordonia terrae
NC_031100,164443,Bacillus thuringiensis serovar kurstaki
NC_031101,33697,Weissella sp.
NC_031102,42429,Mycolicibacterium smegmatis MC2 155
NC_031103,165772,Escherichia coli
NC_031104,72979,Pseudomonas aeruginosa
NC_031105,8938,Rattus norvegicus
NC_031106,9112,Rattus andamanensis
NC_031107,246290,Erwinia amylovora
NC_031108,39640,Propionibacterium freudenreichii
NC_031109,78302,Gordonia terrae
NC_031110,93129,Pseudomonas aeruginosa
NC_031111,53623,Mycobacterium
NC_031112,59265,Gordonia terrae
NC_031113,44513,Escherichia coli
NC_031114,39235,Escherichia coli
NC_031115,39616,Morganella sp. (in: Bacteria)
NC_031116,163345,Bacillus thuringiensis serovar kurstaki
NC_031117,44885,Acinetobacter baumannii
NC_031118,54167,Gordonia terrae
NC_031119,29347,Cutibacterium acnes
NC_031120,241147,Erwinia amylovora
NC_031121,25908,Bacillus thuringiensis serovar kurstaki
NC_031122,44929,Gordonia terrae
NC_031123,39444,Citrobacter freundii
NC_031124,76012,Mycolicibacterium smegmatis
NC_031125,41005,Lactobacillus casei BL23
NC_031126,244840,Erwinia amylovora
NC_031127,240761,Erwinia amylovora
NC_031128,158081,Salmonella enterica subsp. enterica serovar Typhimurium
NC_031129,103445,Salmonella enterica
NC_031130,2266,Cannabis sativa
NC_031134,2397,Cannabis sativa
NC_031135,11823,Haemaphysalis doenitzi
NC_031136,4675,Haemaphysalis doenitzi
NC_031137,1969,Haemaphysalis doenitzi
NC_031138,6441,Haemaphysalis
NC_031139,3568,Haemaphysalis
NC_031140,1709,Haemaphysalis
NC_031141,12229,Gerridae
NC_031142,4193,Gerridae
NC_031143,2171,Gerridae
NC_030901,92618,Gordonia terrae
NC_030902,41207,Gordonia malaquae
NC_030903,152069,Bacillus subtilis
NC_030904,38975,Bacillus halmapalus
NC_030905,73752,Gordonia terrae
NC_030906,83324,Gordonia malaquae
NC_030907,17562,Gordonia malaquae
NC_030908,36938,Pseudomonas aeruginosa PA14
NC_030909,50183,Pseudomonas
NC_030910,93754,Pseudomonas aeruginosa PAK
NC_030911,45858,Gordonia terrae
NC_030912,17119,Gordonia neofelifaecis
NC_030913,58308,Gordonia terrae
NC_030914,75462,Gordonia terrae
NC_030915,80650,Gordonia terrae
NC_030916,56212,Tsukamurella paurometabola
NC_030917,93577,Gordonia terrae
NC_030918,36629,Pseudomonas aeruginosa PA14
NC_030919,42418,Salmonella enterica
NC_030920,165868,Bacillus megaterium
NC_030921,49768,Gordonia
NC_030923,45417,Pseudomonas putida
NC_030924,75680,Gordonia terrae
NC_030925,138081,Bacillus sp. (in: Bacteria)
NC_030926,8506,Jasminum sambac
NC_030927,45858,Gordonia terrae
NC_030929,49033,Pseudomonas aeruginosa PA14
NC_030930,46570,Gordonia terrae
NC_030931,41871,Pseudomonas aeruginosa
NC_030932,43505,Gordonia sputi
NC_030933,133798,Staphylococcus aureus
NC_030934,90552,Pseudomonas syringae
NC_030935,17727,Gordonia rubripertincta
NC_030936,93843,Gordonia terrae
NC_030938,9639,Rosellinia necatrix
NC_030939,45537,Gordonia malaquae
NC_030940,32637,Pseudomonas aeruginosa
NC_030941,46600,Gordonia terrae
NC_030942,55524,Gordonia terrae
NC_030943,54990,Gordonia terrae
NC_030944,74073,Gordonia terrae
NC_030945,39873,Bacillus alcalophilus ATCC 27647 = CGMCC 1.3604
NC_030946,33477,Streptococcus pneumoniae
NC_030947,38243,Clostridium tetani
NC_030948,167619,Ralstonia
NC_030949,47020,Clostridium tetani
NC_030950,47020,Clostridium tetani
NC_030951,38243,Clostridium tetani
NC_030884,32995,Sulfolobus islandicus
NC_030886,30161,Rousettus leschenaultii
NC_030887,2220,Phaseolus vulgaris
NC_030888,2121,Sclerotium hydrophilum
NC_030889,1959,Arabidopsis halleri
NC_030890,1763,Arabidopsis halleri
NC_030891,1953,Sclerotium hydrophilum
NC_030860,29581,Miniopterus schreibersii
NC_030861,2397,Fusarium poae
NC_030862,2414,Fusarium poae
NC_030863,2718,Fusarium poae
NC_030864,2387,Fusarium poae
NC_030865,2297,Fusarium poae
NC_030866,2054,Fusarium poae
NC_030867,5124,Fusarium poae
NC_030868,6379,Fusarium poae
NC_030869,9148,Fusarium poae
NC_030870,4224,Fusarium poae
NC_030871,7747,Fusarium poae
NC_030872,6608,Fusarium poae
NC_030873,5224,Mustela lutreola
NC_030874,29162,Miniopterus schreibersii
NC_030875,1955,Erysiphe palczewskii
NC_030876,1918,Erysiphe palczewskii
NC_030877,2231,Fusarium poae
NC_030878,2403,Fusarium poae
NC_030879,2413,Fusarium poae
NC_030880,2496,Fusarium poae
NC_030881,2482,Fusarium poae
NC_030882,2431,Fusarium poae
NC_030883,3559,Fusarium poae
NC_030837,4639,Enhydra lutris
NC_030838,7299,Sparus aurata
NC_030839,5748,Sparus aurata
NC_030840,9778,Coccinia grandis
NC_030842,115510,Scophthalmus maximus
NC_030847,9837,Spermatophyta
NC_030848,31314,Haloarcula californiae
NC_030792,32690,Equus caballus
NC_030793,7484,Bos taurus
NC_030794,9859,Callistephus chinensis
NC_030795,7961,Bos taurus
NC_030796,7527,Bos taurus
NC_030797,7402,Bos taurus
NC_030798,7282,Bos taurus
NC_030799,7253,Bos taurus
NC_030800,7277,Bos taurus
NC_030801,7149,Bos taurus
NC_030791,9443,Homo sapiens
NC_030742,3935,Gompholobium preissii
NC_030743,9863,Culex
NC_030744,9868,Sus scrofa domesticus
NC_030745,9224,Sus scrofa domesticus
NC_030746,6775,Senna occidentalis
NC_030747,2506,Alternaria arborescens
NC_030748,2742,Senna occidentalis
NC_030749,2740,Malvastrum coromandelianum
NC_030750,6515,Hyalopterus pruni
NC_030751,1700,Hyalopterus pruni
NC_030752,7243,Hyalopterus pruni
NC_030688,8915,Ara ararauna
NC_030689,8901,Cacatua moluccensis
NC_030690,8930,Serinus canaria
NC_030691,8904,Anatidae
NC_030692,8908,Equus ferus
NC_030693,6863,Vitis vinifera
NC_030694,52684,Gordonia terrae
NC_030695,52689,Gordonia terrae
NC_030696,93139,Gordonia terrae
NC_030697,9808,Sus scrofa domesticus
NC_030698,52924,Gordonia terrae
NC_030699,2759,Boehmeria
NC_030701,8798,Sciurus variegatoides
NC_030653,10908,Sus scrofa
NC_030654,8246,Fusarium graminearum
NC_030655,10644,Rhizoctonia solani
NC_030656,133492,Pteropus scapulatus
NC_030658,1833,Cajanus cajan
NC_030659,1194,Cajanus cajan
NC_030660,7009,Cajanus cajan
NC_030661,1335,Cajanus cajan
NC_030662,2229,Cajanus cajan
NC_030663,1491,Cajanus cajan
NC_030657,6400,Smallanthus sonchifolius
NC_030648,748,Petroselinum crispum
NC_030649,745,Daucus carota
NC_030650,2568,Gorilla
NC_030651,10913,Nylanderia fulva
NC_030452,4789,Tulipa fosteriana
NC_030453,27709,Diaphorina citri
NC_030479,1524,Pseudogymnoascus destructans
NC_030480,1682,Pseudogymnoascus destructans
NC_030451,13434,Diachasmimorpha longicaudata
NC_030454,7317,Homo sapiens
NC_030461,2356,Pan troglodytes
NC_030462,6966,Canna indica
NC_030466,3811,Pan troglodytes
NC_030446,3138,Nanorana parkeri
NC_030447,2264,Homo sapiens
NC_030448,2262,Homo sapiens
NC_030445,3260,Lepomis macrochirus
NC_030449,2951,Homo sapiens
NC_030391,9369,Allium
NC_030392,5162,Sclerotinia nivalis
NC_030393,2715,Cronartium ribicola
NC_030394,126965,Anguilla australis
NC_030395,2471,Cronartium ribicola
NC_030396,2522,Cronartium ribicola
NC_030397,2479,Cronartium ribicola
NC_030398,4998,Zea mays
NC_030399,2631,Cronartium ribicola
NC_030400,10122,Mansonia africana
NC_030401,10158,Culicidae
NC_030402,5224,Bos taurus
NC_030403,2742,Telfairia occidentalis
NC_030405,3947,Etheostoma fonticola
NC_030406,2057,Etheostoma fonticola
NC_030407,1400,Etheostoma fonticola
NC_030408,1317,Etheostoma fonticola
NC_030409,1118,Etheostoma fonticola
NC_030410,987,Etheostoma fonticola
NC_030411,783,Etheostoma fonticola
NC_030412,3866,Etheostoma fonticola
NC_030413,3687,Etheostoma fonticola
NC_030414,2554,Etheostoma fonticola
NC_030415,2242,Etheostoma fonticola
NC_030378,8908,Actinidia deliciosa
NC_030379,4772,Actinidia deliciosa
NC_030380,2991,Actinidia deliciosa
NC_030309,1367,Momordica charantia
NC_030310,2766,Gossypium hirsutum
NC_030311,2716,Gossypium hirsutum
NC_030290,10864,Culiseta melanura
NC_030291,9630,Pteropus giganteus
NC_030292,28434,Mustela putorius
NC_030293,9310,Carya illinoinensis
NC_030294,9537,Culex vishnui
NC_030295,7788,Notemigonus crysoleucas
NC_030296,5071,Diaphorina citri
NC_030297,2803,Homo sapiens
NC_030224,5100,Nigrospora oryzae
NC_030225,5813,Cucurbita pepo
NC_030226,1386,Parthenium hysterophorus
NC_030227,23676,Otostigmus scaber
NC_030228,20433,Neoscona nautica
NC_030229,6350,Solanum viarum
NC_030231,16146,Anser sp.
NC_030236,9622,Impatiens walleriana
NC_030238,2683,Euphorbia caput-medusae
NC_030240,128058,Catopsilia pomona
NC_030242,2972,Oncorhynchus mykiss
NC_030243,1584,Sinapis alba
NC_030244,2611,Oncorhynchus mykiss
NC_030245,1536,Sinapis alba
NC_030199,1939,Ixodes scapularis
NC_030200,137448,Macaca nemestrina
NC_030204,11163,Amblyomma americanum
NC_030205,7535,Eleocharis dulcis
NC_030115,8919,Anopheles coluzzii
NC_030116,24662,Pygoscelis antarcticus
NC_030117,125171,Canis lupus familiaris
NC_030118,9896,Nicotiana tabacum
NC_030119,2755,Bos taurus
NC_030120,2608,Ovis aries
NC_030121,2861,Ovis aries
NC_030122,2712,Ovis aries
NC_030123,2623,Bos taurus
NC_030124,2723,Bos taurus
NC_030125,2468,Bos taurus
NC_030126,2684,Sus scrofa domesticus
NC_030127,2589,Lepus europaeus
NC_030128,2645,Bos taurus
NC_030129,2568,Bos taurus
NC_030130,3060,Bos taurus
NC_030131,2750,Anas platyrhynchos
NC_030132,2355,Dama dama
NC_030133,1845,Anas platyrhynchos
NC_030134,1856,Anas platyrhynchos
NC_030135,2002,Lama glama
NC_030136,2684,Rupicapra rupicapra
NC_030137,2782,Bos taurus
NC_030138,2194,Anas platyrhynchos
NC_030139,2136,Gallus gallus
NC_030140,2230,Gallus gallus
NC_030141,2247,Gallus gallus
NC_030142,2125,Lama glama
NC_030143,2240,Equus ferus
NC_030144,2384,Ovis aries
NC_030145,2308,Sus scrofa
NC_030146,2164,Bos taurus
NC_030147,2226,Canis lupus familiaris
NC_030148,14334,Anguilla marmorata
NC_030149,1474,Sus scrofa domesticus
NC_030150,1280,Bos taurus
NC_030151,8082,Cervus
NC_030152,1512,Sclerotinia sclerotiorum
NC_030153,1304,Sclerotinia sclerotiorum
NC_030154,1223,Sclerotinia sclerotiorum
NC_030155,1170,Sclerotinia sclerotiorum
NC_030156,1093,Sclerotinia sclerotiorum
NC_030157,1000,Sclerotinia sclerotiorum
NC_030158,4143,Sclerotinia sclerotiorum
NC_030159,2259,Sclerotinia sclerotiorum
NC_030160,2029,Sclerotinia sclerotiorum
NC_030161,3775,Sclerotinia sclerotiorum
NC_030162,3307,Sclerotinia sclerotiorum
NC_030163,2084,Sclerotinia sclerotiorum
NC_029991,3038,Ceratorhiza oryzae-sativae
NC_029992,15247,Chlorocebus
NC_029993,5726,Medicago sativa
NC_029994,2762,Solanum lycopersicum
NC_029995,2748,Solanum lycopersicum
NC_029996,134272,Mocis
NC_029997,105555,Urbanus proteus
NC_029990,5625,Zea mays
NC_029989,5211,Penicillium digitatum
NC_029898,37545,Rhinolophus sinicus
NC_029899,37556,Rhinolophus sinicus
NC_029900,3674,Solanum tuberosum
NC_029901,6403,Phlebotomus
NC_029902,38073,Rhinolophus sinicus
NC_029903,6456,Phlebotomus
NC_029904,4300,Callinectes sapidus
NC_029905,7367,Macaca mulatta
NC_029906,5620,Hordeum vulgare
NC_029907,1335,Cucurbita pepo
NC_029911,3925,Eucampsipoda africana
NC_029912,3846,Eucampsipoda africana
NC_029913,2341,Eucampsipoda africana
NC_029914,2112,Eucampsipoda africana
NC_029915,1322,Eucampsipoda africana
NC_029916,1209,Eucampsipoda africana
NC_029917,3950,Eucampsipoda africana
NC_029918,2145,Eucampsipoda africana
NC_029919,1277,Eucampsipoda africana
NC_029920,1068,Eucampsipoda africana
NC_029921,1471,Tilapia
NC_029922,1250,Tilapia
NC_029923,1099,Tilapia
NC_029924,777,Tilapia
NC_029925,548,Tilapia
NC_029926,1641,Tilapia
NC_029927,1371,Tilapia
NC_029928,1044,Tilapia
NC_029929,657,Tilapia
NC_029930,465,Tilapia
NC_029931,12065,Rousettus aegyptiacus
NC_029932,1719,Rousettus aegyptiacus
NC_029933,4598,Rousettus aegyptiacus
NC_029935,4410,Rousettus aegyptiacus
NC_029936,1761,Rousettus aegyptiacus
NC_029852,7470,Bos taurus
NC_029853,8183,Mus musculus
NC_029854,7382,Bos grunniens
NC_029803,2702,Deinbollia borbonica
NC_029804,2759,Deinbollia borbonica
NC_029797,4765,Pteropus vampyrus
NC_029799,8880,Allium cepa
NC_029801,2666,Sus scrofa
NC_029802,1730,Sus scrofa
NC_029782,2984,Phytophthora infestans
NC_029783,17608,Vitis vinifera
NC_029691,6017,Ixeridium dentatum
NC_029692,362276,Acanthamoeba castellanii
NC_029647,7527,Homo sapiens
NC_029645,7313,Bos taurus
NC_029648,2748,Gossypium hirsutum
NC_029642,9006,Branta canadensis
NC_029578,4020,Vaccinium
NC_029579,3124,Potamopyrgus antipodarum
NC_029580,1709,Chironomus zealandicus
NC_029581,2546,Potamopyrgus antipodarum
NC_029585,2205,Musculium novaezelandiae
NC_029586,2191,Potamopyrgus antipodarum
NC_029588,2164,Potamopyrgus antipodarum
NC_029590,1898,Musculium novaezelandiae
NC_029591,2023,Potamopyrgus antipodarum
NC_029592,1587,Echyridella menziesii
NC_029593,1677,Potamopyrgus antipodarum
NC_029594,4301,Echyridella menziesii
NC_029595,1963,Chironomus zealandicus
NC_029596,1888,Echyridella menziesii
NC_029597,3531,Potamopyrgus antipodarum
NC_029598,3208,Potamopyrgus antipodarum
NC_029599,2678,Echyridella menziesii
NC_029600,2746,Musculium novaezelandiae
NC_029601,1217,Musculium novaezelandiae
NC_029602,1082,Echyridella menziesii
NC_029603,1131,Echyridella menziesii
NC_029604,1821,Echyridella menziesii
NC_029605,3481,Musculium novaezelandiae
NC_029607,2862,Musculium novaezelandiae
NC_029608,1045,Chironomus zealandicus
NC_029609,1931,Echyridella menziesii
NC_029610,2301,Potamopyrgus antipodarum
NC_029611,4441,Chironomus zealandicus
NC_029612,2198,Echyridella menziesii
NC_029613,1776,Echyridella menziesii
NC_029614,2259,Echyridella menziesii
NC_029616,3091,Musculium novaezelandiae
NC_029617,6380,Potamopyrgus antipodarum
NC_029619,4282,Potamopyrgus antipodarum
NC_029620,2022,Potamopyrgus antipodarum
NC_029621,1182,Potamopyrgus antipodarum
NC_029622,1632,Echyridella menziesii
NC_029623,3049,Musculium novaezelandiae
NC_029624,2999,Musculium novaezelandiae
NC_029625,2039,Musculium novaezelandiae
NC_029626,2927,Potamopyrgus antipodarum
NC_029627,1802,Musculium novaezelandiae
NC_029628,1762,Echyridella menziesii
NC_029629,2175,Echyridella menziesii
NC_029631,3910,Musculium novaezelandiae
NC_029632,1137,Procordulia grayi
NC_029633,2903,Musculium novaezelandiae
NC_029634,1693,Procordulia grayi
NC_029636,1660,Echyridella menziesii
NC_029637,1775,Echyridella menziesii
NC_029638,2732,Musculium novaezelandiae
NC_029639,1627,Echyridella menziesii
NC_029549,2211,Triticum aestivum
NC_029550,1441,Triticum aestivum
NC_029551,1682,Triticum aestivum
NC_029552,1715,Triticum aestivum
NC_029553,1752,Triticum aestivum
NC_029554,1434,Triticum aestivum
NC_029555,1339,Triticum aestivum
NC_029556,2223,Cajanus cajan
NC_029557,1563,Cajanus cajan
NC_029558,2135,Rubus idaeus
NC_029559,1365,Rubus idaeus
NC_029560,1675,Rubus idaeus
NC_029561,1718,Rubus idaeus
NC_029562,7039,Ficus carica
NC_029563,1490,Ficus carica
NC_029564,1472,Ficus carica
NC_029565,2252,Ficus carica
NC_029566,1752,Ficus carica
NC_029567,7062,Rubus idaeus
NC_029569,1801,Cajanus cajan
NC_029570,6981,Triticum aestivum
NC_029571,1095,Rubus
NC_029572,1089,Rubus
NC_029573,1273,Rubus
NC_029574,1442,Cajanus cajan
NC_029575,7022,Cajanus cajan
NC_029311,124049,Oryctolagus cuniculus
NC_029312,5713,Colobopsis nipponica
NC_029313,1361,Urtica dioica
NC_029314,29763,Sulfolobales
NC_029316,70812,Acidianus
NC_029301,7925,Ribes rubrum
NC_029302,6038,Notemigonus crysoleucas
NC_029303,7663,Rubus
NC_029255,129563,Myotis velifer
NC_029300,5203,Aselliscus stoliczkanus
NC_029131,9581,Delisea pulchra
NC_029132,140122,Macropodidae
NC_029133,5212,Rattus norvegicus
NC_029056,6656,Alternaria brassicicola
NC_029057,134742,Vibrio parahaemolyticus
NC_029058,106071,Lactobacillus fermentum
NC_029059,51492,Mycolicibacterium smegmatis MC2 155
NC_029060,76276,Gordonia sp.
NC_029061,36315,Rhodoferax sp. IMCC26218
NC_029063,6421,Prunus persica
NC_029064,15078,Cucumis melo
NC_029065,98765,Pseudomonas
NC_029066,48666,Pseudomonas sp. 1-1-1b
NC_029067,138234,Vibrio sp. 12A10
NC_029068,31703,Lactobacillus fermentum
NC_029070,41620,Cronobacter
NC_029071,41085,Salmonella enterica subsp. enterica serovar Typhimurium
NC_029072,94766,Salmonella enterica subsp. enterica serovar Paratyphi A
NC_029074,75987,Gordonia sp.
NC_029075,81541,Achromobacter xylosoxidans
NC_029076,10423,Iris
NC_029077,52155,Mycolicibacterium smegmatis MC2 155
NC_029078,34997,Erysipelothrix rhusiopathiae
NC_029079,75339,Mycolicibacterium smegmatis MC2 155
NC_029080,142096,Staphylococcus
NC_029081,45633,Pectobacterium atrosepticum
NC_029083,93464,Pseudomonas aeruginosa PAO1
NC_029084,37990,Paenibacillus larvae
NC_029085,8628,Sambucus
NC_029086,8607,Sambucus
NC_029087,8613,Sambucus
NC_029088,8612,Sambucus
NC_029089,8540,Sambucus
NC_029091,168771,Escherichia coli
NC_029092,44974,Caulobacter sp.
NC_029093,75796,Mycolicibacterium smegmatis MC2 155
NC_029094,131903,Pseudoalteromonas marina
NC_029095,11907,Golovinomyces cichoracearum
NC_029096,5003,Panax notoginseng
NC_029097,44496,Rhodobacter capsulatus YW1
NC_029098,133531,Streptomyces lividans
NC_029099,49797,Klebsiella pneumoniae
NC_029100,33399,Pseudoalteromonas sp. Bq0
NC_029101,72192,Pseudomonas aeruginosa
NC_029102,36051,Enterobacter cloacae
NC_029103,64323,Sulfolobus
NC_029104,54312,Brevibacillus laterosporus
NC_029105,2700,Pavonia
NC_029106,62220,Achromobacter xylosoxidans
NC_029107,41941,Ralstonia solanacearum
NC_029108,1846,Mnemiopsis leidyi
NC_029109,1853,Mnemiopsis leidyi
NC_029110,1722,Mnemiopsis leidyi
NC_029111,1714,Mnemiopsis leidyi
NC_029112,1210,Mnemiopsis leidyi
NC_029114,1223,Mnemiopsis leidyi
NC_029115,1210,Mnemiopsis leidyi
NC_029116,33596,Clostridioides difficile
NC_029117,2965,Brassica rapa var. rapa
NC_029118,24847,Lactococcus garvieae
NC_029119,127726,Staphylococcus epidermidis 36-1
NC_029120,60875,Shigella sonnei
NC_029121,151417,Bacillus pumilus
NC_029122,1699,Haemaphysalis flava
NC_029123,4625,Haemaphysalis flava
NC_029124,12143,Haemaphysalis flava
NC_029125,8985,Rosellinia necatrix
NC_029126,7959,Rosellinia necatrix
NC_029127,6405,Phlebotomus
NC_029128,4229,Phlebotomus
NC_029129,1755,Phlebotomus
NC_029053,14924,Chlorocebus pygerythrus
NC_029051,9590,Jasminum
NC_029050,51896,Salmonella enterica subsp. enterica serovar Paratyphi A
NC_029046,50827,Sinorhizobium sp. LM21
NC_029047,32894,Puniceicoccales
NC_029048,131704,Clostridioides difficile
NC_029045,60216,Salmonella enterica subsp. enterica serovar Gallinarum
